Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,073,505","$372,755",<0.1%,"$460,700,750",99.90%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.40%,"$220,200,000",51.60%
3,Tenet,"$353,700,000","$56,300,000",15.90%,"$297,400,000",84.10%
4,Sonic the Hedgehog,"$319,104,338","$146,066,470",45.80%,"$173,037,868",54.20%
5,Dolittle,"$245,229,574","$77,047,065",31.40%,"$168,182,509",68.60%
6,Legend of Deification,"$240,581,901","$214,670",<0.1%,"$240,367,231",99.90%
7,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.70%,"$117,700,000",58.30%
8,Onward,"$141,511,094","$61,555,145",43.50%,"$79,955,949",56.50%
9,The Invisible Man,"$130,560,433","$64,914,050",49.70%,"$65,646,383",50.30%
10,The Call of the Wild,"$107,604,626","$62,342,368",57.90%,"$45,262,258",42.10%
11,Mulan,"$66,800,000",-,-,"$66,800,000",100%
12,Vanguard,"$49,656,971",-,-,"$49,656,971",100%
13,Fantasy Island,"$48,804,547","$27,309,289",56%,"$21,495,258",44%
14,After We Collided,"$47,982,954","$2,379,023",5%,"$45,603,931",95%
15,The New Mutants,"$45,848,357","$23,756,737",51.80%,"$22,091,620",48.20%
16,Unhinged,"$42,823,368","$20,823,368",48.60%,"$22,000,000",51.40%
17,Underwater,"$40,882,928","$17,291,078",42.30%,"$23,591,850",57.70%
18,Train to Busan Presents: Peninsula,"$38,700,977","$1,231,407",3.20%,"$37,469,570",96.80%
19,Greenland,"$38,100,000",-,-,"$38,100,000",100%
20,The Man Standing Next,"$34,664,900","$113,527",0.30%,"$34,551,373",99.70%
21,Trolls World Tour,"$34,572,286",-,-,"$34,572,286",100%
22,Bloodshot,"$33,482,340","$12,561,824",37.50%,"$20,920,516",62.50%
23,Like a Boss,"$29,753,143","$22,169,514",74.50%,"$7,583,629",25.50%
24,Leap,"$25,740,679","$83,074",0.30%,"$25,657,605",99.70%
25,Emma.,"$25,645,655","$10,055,355",39.20%,"$15,590,300",60.80%
26,Scoob!,"$24,700,000",-,-,"$24,700,000",100%
27,Honest Thief,"$24,541,336","$12,473,674",50.80%,"$12,067,662",49.20%
28,The War with Grandpa,"$23,477,353","$15,353,153",65.40%,"$8,124,200",34.60%
29,Gretel & Hansel,"$22,051,055","$15,347,654",69.60%,"$6,703,401",30.40%
30,The Photograph,"$20,690,779","$20,578,185",99.50%,"$112,594",0.50%
31,Brahms: The Boy II,"$20,311,536","$12,611,536",62.10%,"$7,700,000",37.90%
32,The Turning,"$18,714,343","$15,472,775",82.70%,"$3,241,568",17.30%
33,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$18,609,080",-,-,"$18,609,080",100%
34,Digimon Adventure: Last Evolution Kizuna,"$17,040,162",-,-,"$17,040,162",100%
35,Baaghi 3,"$16,726,510","$721,439",4.30%,"$16,005,071",95.70%
36,I Still Believe,"$15,756,972","$9,868,521",62.60%,"$5,888,451",37.40%
37,The Way Back,"$14,690,514","$13,590,514",92.50%,"$1,100,000",7.50%
38,The Personal History of David Copperfield,"$14,037,149","$1,876,298",13.40%,"$12,160,851",86.60%
39,The Witches,"$13,400,000",-,-,"$13,400,000",100%
40,The Hunt,"$10,891,670","$5,812,500",53.40%,"$5,079,170",46.60%
41,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
42,My Spy,"$10,200,000",-,-,"$10,200,000",100%
43,Come Play,"$9,339,868","$7,408,930",79.30%,"$1,930,938",20.70%
44,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
45,Downhill,"$8,899,195","$8,287,061",93.10%,"$612,134",6.90%
46,Malang,"$8,399,765",-,-,"$8,399,765",100%
47,Spirited Away Studio Ghibli Fest 2020,"$7,724,266",-,-,"$7,724,266",100%
48,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
